"TRTID10","Total_Pop","White_Pop","Black_Pop","Latino_Pop","Elder_Pop","Children_Pop","College_Pop","Owner_Occupied","Median_House_Value","Median_Rent","Below_Poverty_Pop","Total_Employeed","Female_Households","Total_Households","Total_housing_units","Vacant_housing_units","Median_Housedhold_Income","Pt_White","Pt_Black","Pt_Latino","Pt_Elderly","Pt_Children","Pt_College","Pt_Owner_Occupied","Median_House_Value_Adjusted","Median_Rent_Adjusted","Pt_Below_Poverty","Pt_Female_Households","Pt_Vacant","Median_Housedhold_Income_Adjusted","Year","Pt_Profesional_Employed","Pt_Currently_Married","Pt_Employed"
42101000100,2645.476404,2075.451172,336.4247437,91.84295654,207.6449432,68.88221741,1621.227783,399.3171997,120999.998,857.9999783,222.619339,1997.584229,6.988050938,306.4759521,1896.756714,151.7405396,48886.00007,78.45283249784,12.7169814552615,3.47169819398624,7.84905671001404,2.60377364567868,61.2830180813059,21.052631407741,153669.99746,1089.659972441,8.41509448594575,2.28013026474582,8.0000001307495,62085.2200889,2000,65.6171914040477,214.983703479944,75.5094328560112
42101000200,1362,152,78,23,265,211,195,85,112500,339,690,400,13,281,509,50,8349,11.1600587371512,5.72687224669604,1.68869309838473,19.4566813509545,15.4919236417034,14.3171806167401,16.6994106090373,142875,430.53,50.6607929515419,4.62633451957295,9.82318271119843,10603.23,2000,21.25,212.811387900356,29.3685756240822
42101000300,2570,1821,396,98,479,174,1125,378,194400,660,236,1270,15,327,1392,153,40625,70.8560311284047,15.408560311284,3.81322957198444,18.6381322957198,6.7704280155642,43.7743190661479,27.1551724137931,246888,838.2,9.18287937743191,4.58715596330275,10.9913793103448,51593.75,2000,64.0944881889764,345.871559633028,49.4163424124514
42101000401,1235.999987,915.8952026,160.482254,34.96220779,545.9262695,27.2246685,432.4423828,349.3354797,43900.00173,600.9999889,190.8592682,424.4182739,8.59726429,157.3299255,936.5286255,77.08879852,27400.00067,74.1015543877995,12.9840012692492,2.82865761793896,44.1687924953028,2.20264310569123,34.9872481673416,37.3011000612495,55753.0021971,763.269985903,15.4416885281084,5.46448125661891,8.23133393053985,34798.0008509,2000,53.1397705446443,228.597465203783,34.3380484113225
42101000402,3076.999885,2280.104736,399.5177307,87.03778839,1359.07373,67.77532959,1076.557617,869.6644897,43899.99901,600.9999938,475.1407166,1056.581665,21.40273476,391.6700439,2331.471191,191.9111938,27399.99937,74.1015541506918,12.9840021329738,2.82865751195828,44.1687936559673,2.20264322791809,34.987249178919,37.3011038290801,55752.9987427,763.269992126,15.4416878244375,5.46448090512239,8.23133455565825,34797.9991999,2000,53.1397720118492,228.597461624764,34.3380469447109
42101000500,1126,589,327,58,52,43,125,6,225000,501,332,492,1,39,373,93,9620,52.3090586145648,29.0408525754885,5.15097690941385,4.61811722912966,3.81882770870337,11.101243339254,1.60857908847185,285750,636.27,29.4849023090586,2.56410256410256,24.9329758713137,12217.4,2000,34.1463414634146,433.333333333333,43.6944937833037
42101000600,1315,887,213,45,74,27,639,9,225000,913,176,722,3,121,624,103,41563,67.4524714828897,16.1977186311787,3.42205323193916,5.62737642585551,2.0532319391635,48.5931558935361,1.44230769230769,285750,1159.51,13.3840304182509,2.47933884297521,16.5064102564103,52785.01,2000,76.0387811634349,303.305785123967,54.9049429657795
42101000700,2564,1939,156,117,590,74,1317,541,101700,844,454,1348,18,318,2044,154,34536,75.6240249609984,6.08424336973479,4.56318252730109,23.0109204368175,2.88611544461779,51.3650546021841,26.46771037182,129159,1071.88,17.7067082683307,5.66037735849057,7.53424657534247,43860.72,2000,57.7151335311573,203.14465408805,52.5741029641186
42101000801,1477.999962,1207.065308,47.33932114,51.70641708,262.8991699,54.85072708,1001.811829,281.4156799,210499.9887,904.0000118,212.7649231,954.8218384,6.637985706,228.6611481,1147.148804,78.95709229,42346.00111,81.6688321403353,3.20293114730134,3.49840449319308,17.7874950378382,3.71114536469792,67.7815869253723,24.5317502767496,267334.985649,1148.080014986,14.395462014227,2.9029792604282,6.88289888937547,53779.4214097,2000,77.7350913594269,196.333077669875,64.6022911332118
42101000803,3682.000055,3007.046387,117.9319229,128.8112488,654.9356079,136.6443634,2495.718018,701.0639648,210499.9958,903.9999943,530.0408936,2378.656494,16.53657913,569.6416626,2857.781982,196.6982727,42346.00128,81.6688305834368,3.20293104666996,3.49840431493421,17.7874958749831,3.71114506678083,67.7815855708889,24.5317511698133,267334.994666,1148.079992761,14.3954613167435,2.90297922636532,6.88289988315841,53779.4216256,2000,77.7350906137185,196.333079798858,64.6022938204437
42101000804,3300.999983,2695.888184,105.7287521,115.4823303,587.1652222,122.5049057,2237.470215,628.5203857,210499.9995,904.0000011,475.1941833,2132.521729,14.82543468,510.6972046,2562.069092,176.344635,42345.99807,81.6688336226508,3.20293101013324,3.49840445000693,17.7874954627045,3.71114529933035,67.7815882012381,24.5317500477462,267334.999365,1148.080001397,14.3954615494465,2.90297940667443,6.88289927662888,53779.4175489,2000,77.7350883912142,196.333078185797,64.6022944556919
42101000901,2229.999964,1496.240723,219.4546204,94.69309235,291.7085876,58.79050064,956.8041992,93.79553223,238499.9964,575.0000201,644.0028076,1223.380981,15.70738602,187.1422729,1530.796875,96.93701172,20725.00069,67.0959976302493,9.8410145265814,4.24632707976133,13.0811027941344,2.63634536273921,42.9060185939985,6.12723567455676,302894.995428,730.250025527,28.8790501343703,8.39328590841327,6.33245424674649,26320.7508763,2000,62.1423333864956,228.057566944299,54.8601345627645
